Name,Sex,Birthplace,Birthplace_UF,Year,City,Sport,Event,Medal
Ademir Roque Kaefer,M,Toledo,Paraná,1984,Los Angeles,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,Toledo,Paraná,1988,Seoul,Football,Football Men's Football,Silver
Adenízia Aparecida Ferreira da Silva,F,Ibiaí,Minas Gerais,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Daniel Adler,M,Rio de Janeiro,Rio de Janeiro,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
Adriana Aparecida dos Santos,F,São Bernardo do Campo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Adriana Aparecida dos Santos,F,São Bernardo do Campo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Adriana ""Adrianinha"" Moisés Pinto",F,Franca,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Aldair Santos do Nascimento,M,Ilhéus,Bahia,1996,Atlanta,Football,Football Men's Football,Bronze
Alessandra dos Santos de Oliveira,F,São Paulo,São Paulo,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Alessandra dos Santos de Oliveira,F,São Paulo,São Paulo,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Alex Sandro Lobo Silva,M,Catanduva,São Paulo,2012,London,Football,Football Men's Football,Silver
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,Pato Branco,Paraná,2008,Beijing,Football,Football Men's Football,Bronze
"Alexandre ""Alexandre Pato"" Rodrigues da Silva",M,Pato Branco,Paraná,2012,London,Football,Football Men's Football,Silver
"Zenny ""Algodão"" de Azevedo",M,Rio de Janeiro,Rio de Janeiro,1948,London,Basketball,Basketball Men's Basketball,Bronze
"Zenny ""Algodão"" de Azevedo",M,Rio de Janeiro,Rio de Janeiro,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Aline Pellegrino,F,São Paulo,São Paulo,2004,Athina,Football,Football Women's Football,Silver
Aloísio Pires Alves,M,Pelotas,Rio Grande do Sul,1988,Seoul,Football,Football Men's Football,Silver
Thiago Soares Alves,M,Porto Alegre,Rio Grande do Sul,2012,London,Volleyball,Volleyball Men's Volleyball,Silver
"Alexandre ""Amaral"" da Silva Mariano",M,Capivari,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
Amauri Ribeiro,M,São Paulo,São Paulo,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver
Amauri Ribeiro,M,São Paulo,São Paulo,1992,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold
Amaury Antônio Pasos,M,São Paulo,São Paulo,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Amaury Antônio Pasos,M,São Paulo,São Paulo,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Ana Flávia Chritaro Daniel Sanglard,F,Belo Horizonte,Minas Gerais,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,Lavras,Minas Gerais,1996,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze
Anderson Luís de Abreu Oliveira,M,Porto Alegre,Rio Grande do Sul,2008,Beijing,Football,Football Men's Football,Bronze
Anderson de Oliveira Rodrigues,M,Belo Horizonte,Minas Gerais,2004,Athina,Volleyball,Volleyball Men's Volleyball,Gold
Anderson de Oliveira Rodrigues,M,Belo Horizonte,Minas Gerais,2008,Beijing,Volleyball,Volleyball Men's Volleyball,Silver
Jorge Luís Andrade da Silva,M,Juiz de Fora,Minas Gerais,1988,Seoul,Football,Football Men's Football,Silver
André Luiz Moreira,M,São Paulo,São Paulo,1996,Atlanta,Football,Football Men's Football,Bronze
