Nome,Ano nasc,Ano morte,Cidade nasc,Região nasc,Cidade morte,Região morte
Basilio di Luni,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Luni,Liguria
Crescentino di Città di Castello,276,303,Roma,Lazio,Città di Castello,Umbria
Dionigi di Milano,DESCONHECIDO,362,DESCONHECIDO,DESCONHECIDO,Cappadocia,Abruzzo
Donato d'Arezzo,DESCONHECIDO,362,Nicomedia,EXTERIOR - Anatólia,Arezzo,Toscana
Eliodoro di Altino,DESCONHECIDO,407,DESCONHECIDO,DESCONHECIDO,Venezia,Veneto
Emiliano di Trevi,DESCONHECIDO,304,Armenia,EXTERIOR - Armênia,Trevi,Umbria
Eusebio di Vercelli,283,371,Cagliari,Sardegna,Vercelli,Piemonte
Eustorgio di Milano,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia,Milano,Lombardia
Gaudenzio di Brescia,DESCONHECIDO,410,Brescia,Lombardia,Brescia,Lombardia
Gaudenzio di Novara,327,418,Ivrea,Piemonte,Novara,Piemonte
Gaudenzio di Rimini,280,360,Efeso,EXTERIOR - Anatólia,Rimini,Emilia-Romagna
Geminiano di Modena,312,397,Modena,Emilia-Romagna,Modena,Emilia-Romagna
Giovenale di Narni,DESCONHECIDO,DESCONHECIDO,Africa,EXTERIOR - África,Narni,Umbria
Gioventino di Tadino,DESCONHECIDO,DESCONHECIDO,Gualdo Tadino,Umbria,Gualdo Tadino,Umbria
Lorenzo di Novara,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Novara,Piemonte
Lucifero di Cagliari,DESCONHECIDO,370,Cagliari,Sardegna,Cagliari,Sardegna
Massimo di Napoli,DESCONHECIDO,361,Napoli,Campania,DESCONHECIDO,DESCONHECIDO
Materno di Milano,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Mercuriale di Forlì,DESCONHECIDO,DESCONHECIDO,Armenia,EXTERIOR - Armênia,Forlì,Emilia-Romagna
Narno di Bergamo,DESCONHECIDO,345,Villa d'Ogna,Lombardia,Bergamo,Lombardia
San Paterniano,275,360,Fano,Marche,Fano,Marche
Procolo di Pozzuoli,273,305,Pozzuoli,Campania,Pozzuoli,Campania
Procolo di Verona,DESCONHECIDO,304,DESCONHECIDO,DESCONHECIDO,Verona,Veneto
Protaso di Milano,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
San Simpliciano,320,401,Brivio,Lombardia,Milano,Lombardia
Savino di Piacenza,330,420,Milano,Lombardia,Piacenza,Emilia-Romagna
Severo di Napoli,DESCONHECIDO,400,Napoli,Campania,Napoli,Campania
Siro di Pavia,DESCONHECIDO,DESCONHECIDO,Palestina,Terra Santa,Pavia,Lombardia
Viatore di Bergamo,DESCONHECIDO,370,Brescia,Lombardia,Bergamo,Lombardia
Vicinio di Sarsina,DESCONHECIDO,330,DESCONHECIDO,DESCONHECIDO,Sarsina,Emilia-Romagna
Zama (vescovo),DESCONHECIDO,DESCONHECIDO,Bologna,Emilia-Romagna,Bologna,Emilia-Romagna
Zanobi (vescovo),DESCONHECIDO,429,Firenze,Toscana,Firenze,Toscana
Zeno di Verona,300,371,Mauretania,EXTERIOR - África,Verona,Veneto
Albino di Vercelli,DESCONHECIDO,451,Vercelli,Piemonte,Vercelli,Piemonte
Ampelio eremita,DESCONHECIDO,410,Arezzo,Toscana,Bordighera,Liguria
Benigno di Milano,DESCONHECIDO,472,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Console di Como,DESCONHECIDO,497,DESCONHECIDO,DESCONHECIDO,Como,Lombardia
Crispino I di Pavia,DESCONHECIDO,466,Pavia,Lombardia,Pavia,Lombardia
Eusebio di Milano,DESCONHECIDO,462,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Eustorgio II,DESCONHECIDO,518,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Geronzio di Milano,DESCONHECIDO,465,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
Glicerio di Milano,DESCONHECIDO,440,DESCONHECIDO,DESCONHECIDO,Milano,Lombardia
